Subject	Trial	Bin	Time	Count	Condition	Item	Lang
j1	5	0	-1000	0	Targ	5	L2
j1	5	1	-950	0	Targ	5	L2
j1	5	2	-900	0	Targ	5	L2
j1	5	3	-850	0	Targ	5	L2
j1	5	4	-800	0	Targ	5	L2
j1	5	5	-750	0	Targ	5	L2
j1	5	6	-700	0	Targ	5	L2
j1	5	7	-650	0	Targ	5	L2
j1	5	8	-600	0	Targ	5	L2
j1	5	9	-550	0	Targ	5	L2
j1	5	10	-500	0	Targ	5	L2
j1	5	11	-450	0	Targ	5	L2
j1	5	12	-400	0	Targ	5	L2
j1	5	13	-350	0	Targ	5	L2
j1	5	14	-300	0	Targ	5	L2
j1	5	15	-250	0	Targ	5	L2
j1	5	16	-200	0	Targ	5	L2
j1	5	17	-150	0	Targ	5	L2
j1	5	18	-100	0	Targ	5	L2
j1	5	19	-50	0	Targ	5	L2
j1	5	20	0	0	Targ	5	L2
j1	5	21	50	0	Targ	5	L2
j1	5	22	100	0	Targ	5	L2
j1	5	23	150	1	Targ	5	L2
j1	5	24	200	1	Targ	5	L2
j1	5	25	250	1	Targ	5	L2
j1	5	26	300	1	Targ	5	L2
j1	5	27	350	1	Targ	5	L2
j1	5	28	400	1	Targ	5	L2
j1	5	29	450	1	Targ	5	L2
j1	5	30	500	1	Targ	5	L2
j1	5	31	550	1	Targ	5	L2
j1	5	32	600	1	Targ	5	L2
j1	5	33	650	1	Targ	5	L2
j1	5	34	700	1	Targ	5	L2
j1	5	35	750	1	Targ	5	L2
j1	5	36	800	1	Targ	5	L2
j1	5	37	850	0	Targ	5	L2
j1	5	38	900	0	Targ	5	L2
j1	5	39	950	0	Targ	5	L2
j1	5	40	1000	0	Targ	5	L2
j1	6	0	-1000	0	Eng	2	L2
j1	6	1	-950	0	Eng	2	L2
j1	6	2	-900	0	Eng	2	L2
j1	6	3	-850	0	Eng	2	L2
j1	6	4	-800	0	Eng	2	L2
j1	6	5	-750	0	Eng	2	L2
j1	6	6	-700	0	Eng	2	L2
j1	6	7	-650	1	Eng	2	L2
j1	6	8	-600	0	Eng	2	L2
j1	6	9	-550	1	Eng	2	L2
j1	6	10	-500	1	Eng	2	L2
j1	6	11	-450	1	Eng	2	L2
j1	6	12	-400	1	Eng	2	L2
j1	6	13	-350	1	Eng	2	L2
j1	6	14	-300	1	Eng	2	L2
j1	6	15	-250	0	Eng	2	L2
j1	6	16	-200	0	Eng	2	L2
j1	6	17	-150	0	Eng	2	L2
j1	6	18	-100	0	Eng	2	L2
j1	6	19	-50	0	Eng	2	L2
j1	6	20	0	0	Eng	2	L2
j1	6	21	50	0	Eng	2	L2
j1	6	22	100	0	Eng	2	L2
j1	6	23	150	0	Eng	2	L2
j1	6	24	200	0	Eng	2	L2
j1	6	25	250	0	Eng	2	L2
j1	6	26	300	0	Eng	2	L2
j1	6	27	350	0	Eng	2	L2
j1	6	28	400	0	Eng	2	L2
j1	6	29	450	0	Eng	2	L2
j1	6	30	500	0	Eng	2	L2
j1	6	31	550	0	Eng	2	L2
j1	6	32	600	0	Eng	2	L2
j1	6	33	650	0	Eng	2	L2
j1	6	34	700	0	Eng	2	L2
j1	6	35	750	0	Eng	2	L2
j1	6	36	800	0	Eng	2	L2
j1	6	37	850	0	Eng	2	L2
j1	6	38	900	0	Eng	2	L2
j1	6	39	950	0	Eng	2	L2
j1	6	40	1000	0	Eng	2	L2
j1	8	0	-1000	0	Targ	1	L2
j1	8	1	-950	0	Targ	1	L2
j1	8	2	-900	0	Targ	1	L2
j1	8	3	-850	0	Targ	1	L2
j1	8	4	-800	0	Targ	1	L2
j1	8	5	-750	0	Targ	1	L2
j1	8	6	-700	0	Targ	1	L2
j1	8	7	-650	0	Targ	1	L2
j1	8	8	-600	0	Targ	1	L2
j1	8	9	-550	0	Targ	1	L2
j1	8	10	-500	0	Targ	1	L2
j1	8	11	-450	0	Targ	1	L2
j1	8	12	-400	0	Targ	1	L2
j1	8	13	-350	0	Targ	1	L2
j1	8	14	-300	0	Targ	1	L2
j1	8	15	-250	0	Targ	1	L2
j1	8	16	-200	0	Targ	1	L2
j1	8	17	-150	0	Targ	1	L2
j1	8	18	-100	0	Targ	1	L2
j1	8	19	-50	0	Targ	1	L2
j1	8	20	0	0	Targ	1	L2
j1	8	21	50	0	Targ	1	L2
j1	8	22	100	0	Targ	1	L2
j1	8	23	150	0	Targ	1	L2
j1	8	24	200	0	Targ	1	L2
j1	8	25	250	0	Targ	1	L2
j1	8	26	300	0	Targ	1	L2
j1	8	27	350	1	Targ	1	L2
j1	8	28	400	1	Targ	1	L2
j1	8	29	450	1	Targ	1	L2
j1	8	30	500	1	Targ	1	L2
j1	8	31	550	1	Targ	1	L2
j1	8	32	600	1	Targ	1	L2
j1	8	33	650	1	Targ	1	L2
j1	8	34	700	1	Targ	1	L2
j1	8	35	750	1	Targ	1	L2
j1	8	36	800	1	Targ	1	L2
j1	8	37	850	1	Targ	1	L2
j1	8	38	900	1	Targ	1	L2
j1	8	39	950	1	Targ	1	L2
j1	8	40	1000	1	Targ	1	L2
j1	9	0	-1000	0	Jap	7	L2
j1	9	1	-950	0	Jap	7	L2
j1	9	2	-900	0	Jap	7	L2
j1	9	3	-850	0	Jap	7	L2
j1	9	4	-800	0	Jap	7	L2
j1	9	5	-750	0	Jap	7	L2
j1	9	6	-700	0	Jap	7	L2
j1	9	7	-650	0	Jap	7	L2
j1	9	8	-600	0	Jap	7	L2
j1	9	9	-550	0	Jap	7	L2
j1	9	10	-500	0	Jap	7	L2
j1	9	11	-450	0	Jap	7	L2
j1	9	12	-400	0	Jap	7	L2
j1	9	13	-350	0	Jap	7	L2
j1	9	14	-300	0	Jap	7	L2
j1	9	15	-250	0	Jap	7	L2
j1	9	16	-200	0	Jap	7	L2
j1	9	17	-150	0	Jap	7	L2
j1	9	18	-100	0	Jap	7	L2
j1	9	19	-50	0	Jap	7	L2
j1	9	20	0	0	Jap	7	L2
j1	9	21	50	0	Jap	7	L2
j1	9	22	100	0	Jap	7	L2
j1	9	23	150	0	Jap	7	L2
j1	9	24	200	0	Jap	7	L2
j1	9	25	250	0	Jap	7	L2
j1	9	26	300	0	Jap	7	L2
j1	9	27	350	0	Jap	7	L2
j1	9	28	400	0	Jap	7	L2
j1	9	29	450	0	Jap	7	L2
j1	9	30	500	0	Jap	7	L2
j1	9	31	550	0	Jap	7	L2
j1	9	32	600	0	Jap	7	L2
j1	9	33	650	0	Jap	7	L2
j1	9	34	700	0	Jap	7	L2
j1	9	35	750	0	Jap	7	L2
j1	9	36	800	0	Jap	7	L2
j1	9	37	850	0	Jap	7	L2
j1	9	38	900	0	Jap	7	L2
j1	9	39	950	0	Jap	7	L2
j1	9	40	1000	0	Jap	7	L2
j1	10	0	-1000	0	Jap	3	L2
j1	10	1	-950	0	Jap	3	L2
j1	10	2	-900	0	Jap	3	L2
j1	10	3	-850	0	Jap	3	L2
j1	10	4	-800	0	Jap	3	L2
j1	10	5	-750	0	Jap	3	L2
j1	10	6	-700	0	Jap	3	L2
j1	10	7	-650	0	Jap	3	L2
j1	10	8	-600	0	Jap	3	L2
j1	10	9	-550	0	Jap	3	L2
j1	10	10	-500	0	Jap	3	L2
j1	10	11	-450	0	Jap	3	L2
j1	10	12	-400	0	Jap	3	L2
j1	10	13	-350	0	Jap	3	L2
j1	10	14	-300	1	Jap	3	L2
j1	10	15	-250	1	Jap	3	L2
j1	10	16	-200	1	Jap	3	L2
j1	10	17	-150	1	Jap	3	L2
j1	10	18	-100	1	Jap	3	L2
j1	10	19	-50	1	Jap	3	L2
j1	10	20	0	1	Jap	3	L2
j1	10	21	50	0	Jap	3	L2
j1	10	22	100	0	Jap	3	L2
j1	10	23	150	0	Jap	3	L2
j1	10	24	200	0	Jap	3	L2
